order_id,customer_id,order_time,country,device,source,payment_method,discount_pct,gross_revenue,discount_amount,net_revenue,order_lines,total_units,total_product_cost,gross_profit_before_discount,net_profit,net_margin
102,15915,2025-06-11 16:50:25,NL,mobile,organic,card,0.00,179.40,0.00,179.40,1,4,113.36,66.04,66.04,0.368116
103,18133,2022-07-30 20:44:35,BR,tablet,organic,card,20.00,7.39,1.48,5.91,1,1,4.04,3.35,1.87,0.316413
104,113,2025-04-04 04:21:14,AU,mobile,email,paypal,10.00,56.54,5.65,50.89,1,1,36.16,20.38,14.73,0.289448
105,15521,2021-02-10 20:58:58,US,desktop,direct,cod,0.00,106.94,0.00,106.94,1,1,85.38,21.56,21.56,0.201608
106,1307,2024-06-29 06:52:44,ES,tablet,organic,card,0.00,12.97,0.00,12.97,1,1,6.69,6.28,6.28,0.484194
107,18971,2020-01-26 03:59:12,US,mobile,social,wallet,0.00,46.47,0.00,46.47,1,1,25.91,20.56,20.56,0.442436
108,7428,2022-02-08 13:16:08,IN,desktop,direct,paypal,15.00,71.35,10.70,60.65,1,1,40.83,30.52,19.82,0.326793
109,14773,2025-07-29 02:08:51,JP,mobile,organic,card,0.00,147.81,0.00,147.81,2,2,109.13,38.68,38.68,0.261687
110,18905,2023-09-24 08:14:58,AU,mobile,direct,card,0.00,368.92,0.00,368.92,2,2,224.10,144.82,144.82,0.392551
111,1480,2020-06-28 12:34:26,AE,desktop,email,card,0.00,206.08,0.00,206.08,1,2,119.72,86.36,86.36,0.419061
112,3677,2024-09-20 01:49:28,GB,mobile,email,card,15.00,156.85,23.53,133.32,2,3,86.18,70.67,47.14,0.353585
113,6514,2022-03-14 23:16:23,US,desktop,organic,wallet,5.00,208.93,10.45,198.48,3,3,128.83,80.10,69.65,0.350917
114,15139,2022-12-29 01:51:58,JP,mobile,paid,card,10.00,138.36,13.84,124.52,1,1,70.24,68.12,54.28,0.435914
115,1901,2024-03-15 17:06:03,DE,mobile,email,wallet,10.00,581.39,58.14,523.25,3,6,345.33,236.06,177.92,0.340029
116,19336,2024-08-09 19:16:14,US,desktop,direct,card,15.00,369.22,55.38,313.84,2,2,275.57,93.65,38.27,0.121941
117,2852,2021-10-03 21:38:49,US,mobile,social,card,15.00,38.13,5.72,32.41,1,1,26.22,11.91,6.19,0.190990
118,14482,2023-02-09 07:05:52,ES,desktop,organic,card,0.00,53.51,0.00,53.51,1,1,31.87,21.64,21.64,0.404410
119,16995,2020-02-22 23:43:33,GB,desktop,referral,card,15.00,34.21,5.13,29.08,2,2,24.26,9.95,4.82,0.165750
120,16412,2024-11-28 06:49:40,GB,mobile,direct,card,5.00,168.22,8.41,159.81,2,7,88.05,80.17,71.76,0.449033
121,17992,2025-01-09 11:20:41,US,mobile,direct,card,0.00,483.74,0.00,483.74,2,2,321.89,161.85,161.85,0.334581
122,12438,2021-08-25 02:21:44,US,desktop,email,paypal,0.00,169.54,0.00,169.54,1,1,85.09,84.45,84.45,0.498113
123,3813,2022-09-11 20:03:18,GB,mobile,organic,card,0.00,47.58,0.00,47.58,1,3,35.16,12.42,12.42,0.261034
124,11445,2025-07-31 00:11:40,BR,desktop,paid,card,0.00,19.35,0.00,19.35,1,1,13.10,6.25,6.25,0.322997
125,4417,2022-05-08 02:05:14,DE,mobile,email,card,0.00,13.71,0.00,13.71,1,1,7.76,5.95,5.95,0.433990
126,11586,2020-12-10 01:03:45,US,mobile,referral,card,20.00,39.42,7.88,31.54,1,1,24.95,14.47,6.59,0.208941
127,12646,2024-10-17 18:31:30,MX,mobile,organic,paypal,0.00,11.74,0.00,11.74,1,1,6.06,5.68,5.68,0.483816
128,5044,2020-08-08 17:56:53,SG,mobile,email,card,0.00,121.24,0.00,121.24,2,2,82.14,39.10,39.10,0.322501
129,3043,2020-01-26 00:52:55,NL,tablet,direct,card,0.00,119.71,0.00,119.71,3,3,71.80,47.91,47.91,0.400217
130,13517,2023-01-01 21:58:41,JP,desktop,referral,card,5.00,66.01,3.30,62.71,1,1,49.87,16.14,12.84,0.204752
131,10258,2022-05-16 11:26:04,US,mobile,organic,card,10.00,33.09,3.31,29.78,1,3,24.33,8.76,5.45,0.183009
132,12606,2021-01-24 22:28:45,SG,mobile,direct,card,15.00,21.83,3.27,18.56,1,1,13.44,8.39,5.12,0.275862
133,12806,2025-05-07 05:04:16,BR,desktop,direct,wallet,15.00,94.89,14.23,80.66,3,3,58.77,36.12,21.89,0.271386
134,528,2024-02-19 00:59:56,US,desktop,organic,card,5.00,107.54,5.38,102.16,1,1,58.29,49.25,43.87,0.429424
135,12124,2023-12-13 16:53:59,MX,mobile,direct,card,5.00,250.28,12.51,237.77,2,5,133.84,116.44,103.93,0.437103
136,12462,2024-12-26 10:15:21,GB,tablet,organic,card,15.00,44.80,6.72,38.08,1,1,34.67,10.13,3.41,0.089548
137,4119,2025-07-17 05:55:44,BR,desktop,direct,card,0.00,12.23,0.00,12.23,2,2,6.75,5.48,5.48,0.448078
138,9724,2025-06-02 08:09:03,IN,mobile,referral,card,20.00,28.01,5.60,22.41,2,2,16.56,11.45,5.85,0.261044
139,12995,2024-07-11 00:21:02,MX,desktop,organic,card,0.00,20.02,0.00,20.02,1,1,15.00,5.02,5.02,0.250749
140,8089,2023-05-29 03:53:19,US,mobile,organic,card,0.00,86.84,0.00,86.84,2,3,67.84,19.00,19.00,0.218793
141,18709,2024-02-10 00:08:48,MX,mobile,organic,wallet,0.00,129.20,0.00,129.20,4,4,76.77,52.43,52.43,0.405805
142,16959,2021-05-09 09:40:02,DE,desktop,referral,card,20.00,270.55,54.11,216.44,4,4,148.85,121.70,67.59,0.312281
143,18702,2024-10-20 23:31:18,US,desktop,direct,wallet,0.00,43.90,0.00,43.90,1,1,23.34,20.56,20.56,0.468337
144,11051,2025-04-12 16:58:41,MX,mobile,referral,cod,15.00,162.23,24.33,137.90,2,5,122.62,39.61,15.28,0.110805
145,16624,2020-08-22 16:31:47,AE,mobile,referral,card,10.00,49.46,4.95,44.51,1,1,39.14,10.32,5.37,0.120647
146,13481,2022-09-14 08:03:49,SG,mobile,referral,paypal,0.00,45.43,0.00,45.43,1,1,34.58,10.85,10.85,0.238829
147,4269,2024-04-14 06:56:50,MX,mobile,direct,paypal,0.00,171.77,0.00,171.77,2,2,99.68,72.09,72.09,0.419689
148,7579,2022-02-15 22:06:23,JP,mobile,organic,card,0.00,126.04,0.00,126.04,2,2,72.08,53.96,53.96,0.428118
149,18382,2025-04-27 17:04:03,DE,desktop,organic,card,0.00,153.59,0.00,153.59,2,5,95.51,58.08,58.08,0.378150
150,6720,2020-02-29 22:59:04,ES,desktop,organic,card,5.00,22.96,1.15,21.81,1,1,17.46,5.50,4.35,0.199450
151,17527,2023-01-11 17:34:29,NL,mobile,organic,paypal,0.00,1356.17,0.00,1356.17,5,10,920.22,435.95,435.95,0.321457
152,18494,2024-10-12 02:11:32,DE,mobile,paid,card,0.00,6.43,0.00,6.43,1,1,4.16,2.27,2.27,0.353033
153,17613,2021-03-06 07:55:08,US,desktop,social,card,0.00,115.20,0.00,115.20,1,1,58.41,56.79,56.79,0.492969
154,14066,2022-02-13 10:52:09,NL,tablet,paid,cod,5.00,17.27,0.86,16.41,2,2,10.02,7.25,6.39,0.389397
155,18763,2025-05-11 15:09:53,NL,desktop,social,card,0.00,43.16,0.00,43.16,1,1,32.61,10.55,10.55,0.244439
156,653,2020-09-12 22:09:56,MX,desktop,organic,paypal,20.00,338.19,67.64,270.55,1,1,227.02,111.17,43.53,0.160894
157,4100,2023-04-30 11:55:49,IN,mobile,organic,card,0.00,332.09,0.00,332.09,3,3,189.86,142.23,142.23,0.428288
158,16856,2023-12-27 18:16:48,US,desktop,paid,card,5.00,244.46,12.22,232.24,1,2,145.10,99.36,87.14,0.375215
159,17670,2023-09-15 15:39:44,CA,desktop,direct,card,15.00,147.52,22.13,125.39,1,1,98.16,49.36,27.23,0.217162
160,10448,2020-07-19 08:01:30,FR,mobile,direct,card,0.00,10.23,0.00,10.23,1,1,5.89,4.34,4.34,0.424242
161,13862,2020-05-30 05:50:18,US,mobile,social,wallet,5.00,24.77,1.24,23.53,1,1,12.57,12.20,10.96,0.465788
162,17505,2022-05-18 03:20:03,SG,desktop,social,card,15.00,367.56,55.13,312.43,3,4,205.14,162.42,107.29,0.343405
163,13394,2022-02-07 12:26:41,DE,mobile,direct,card,5.00,119.20,5.96,113.24,1,1,71.54,47.66,41.70,0.368244
164,1827,2024-02-19 07:59:20,CA,mobile,paid,wallet,0.00,287.18,0.00,287.18,2,2,166.09,121.09,121.09,0.421652
165,15569,2025-03-31 04:24:37,US,desktop,organic,card,20.00,10.04,2.01,8.03,1,1,7.07,2.97,0.96,0.119552
166,9753,2025-04-14 05:12:01,ES,desktop,organic,card,20.00,61.32,12.26,49.06,2,2,48.44,12.88,0.62,0.012638
167,3519,2024-09-24 01:27:35,MX,mobile,organic,card,20.00,8.66,1.73,6.93,1,1,5.60,3.06,1.33,0.191919
168,17264,2024-03-04 22:21:26,AU,tablet,social,wallet,10.00,163.75,16.37,147.38,3,3,124.53,39.22,22.85,0.155041
169,17104,2020-10-20 09:10:57,DE,mobile,direct,card,15.00,42.51,6.38,36.13,1,1,30.07,12.44,6.06,0.167728
170,2631,2023-10-23 03:01:28,IN,desktop,organic,paypal,0.00,26.76,0.00,26.76,2,2,17.02,9.74,9.74,0.363976
171,15784,2021-12-29 15:37:45,GB,mobile,organic,paypal,0.00,135.25,0.00,135.25,1,1,72.05,63.20,63.20,0.467283
172,17503,2021-11-11 06:22:19,JP,mobile,organic,card,20.00,74.00,14.80,59.20,1,4,51.48,22.52,7.72,0.130405
173,13909,2020-01-18 16:20:49,JP,desktop,organic,card,15.00,92.90,13.93,78.97,2,2,61.54,31.36,17.43,0.220717
174,11361,2024-12-15 15:38:21,CA,desktop,organic,card,20.00,7.22,1.44,5.78,1,1,5.29,1.93,0.49,0.084775
175,6434,2025-08-28 19:56:25,CA,mobile,direct,paypal,15.00,26.68,4.00,22.68,3,3,19.34,7.34,3.34,0.147266
176,5189,2020-12-02 01:28:47,MX,mobile,paid,card,10.00,117.96,11.80,106.16,2,2,90.42,27.54,15.74,0.148267
177,1968,2020-04-11 07:43:25,JP,desktop,organic,cod,10.00,269.14,26.91,242.23,4,7,160.46,108.68,81.77,0.337572
178,12659,2022-08-07 00:19:14,DE,tablet,direct,card,0.00,8.39,0.00,8.39,1,1,6.18,2.21,2.21,0.263409
179,10120,2022-06-01 14:11:19,MX,mobile,email,card,5.00,129.21,6.46,122.75,3,5,73.07,56.14,49.68,0.404725
180,14849,2024-04-15 12:59:48,CA,mobile,organic,wallet,0.00,57.62,0.00,57.62,1,1,35.36,22.26,22.26,0.386324
181,13919,2024-12-29 08:14:10,ZA,tablet,direct,card,20.00,340.42,68.08,272.34,3,3,220.57,119.85,51.77,0.190093
182,3702,2023-12-04 17:55:10,CA,mobile,direct,card,15.00,46.78,7.02,39.76,1,1,32.44,14.34,7.32,0.184105
183,14228,2020-03-09 17:48:23,US,mobile,organic,card,0.00,317.43,0.00,317.43,2,5,185.84,131.59,131.59,0.414548
184,15747,2021-12-18 23:13:26,GB,tablet,direct,paypal,0.00,58.99,0.00,58.99,1,1,44.36,14.63,14.63,0.248008
185,16329,2024-12-13 18:01:43,PL,desktop,organic,cod,20.00,153.38,30.68,122.70,2,4,82.53,70.85,40.17,0.327384
186,15864,2022-09-08 16:26:49,AU,mobile,direct,card,0.00,55.05,0.00,55.05,1,1,34.50,20.55,20.55,0.373297
187,12665,2021-03-13 02:39:13,SG,desktop,organic,card,0.00,223.67,0.00,223.67,2,2,129.30,94.37,94.37,0.421916
188,14689,2023-09-30 10:13:16,ES,mobile,paid,paypal,0.00,313.47,0.00,313.47,4,6,209.43,104.04,104.04,0.331898
189,10663,2022-09-23 20:59:29,GB,mobile,paid,card,0.00,180.33,0.00,180.33,3,3,110.31,70.02,70.02,0.388288
190,3296,2023-04-04 10:45:44,FR,mobile,direct,wallet,20.00,183.25,36.65,146.60,2,4,124.60,58.65,22.00,0.150068
191,12964,2021-09-04 10:09:10,ZA,desktop,paid,card,20.00,38.71,7.74,30.97,1,1,25.83,12.88,5.14,0.165967
192,16025,2023-10-19 10:20:13,DE,desktop,paid,card,0.00,89.95,0.00,89.95,2,3,59.42,30.53,30.53,0.339411
193,19236,2023-01-15 22:59:30,US,mobile,direct,card,15.00,138.70,20.81,117.89,2,2,86.20,52.50,31.69,0.268810
194,10299,2022-06-07 10:27:23,PL,mobile,social,card,5.00,382.89,19.14,363.75,3,5,270.58,112.31,93.17,0.256137
195,9933,2025-04-21 19:12:13,ES,mobile,organic,paypal,10.00,201.56,20.16,181.40,3,6,144.49,57.07,36.91,0.203473
196,4934,2021-01-23 14:07:29,IN,tablet,paid,card,0.00,25.17,0.00,25.17,1,1,20.11,5.06,5.06,0.201033
197,595,2020-04-18 23:44:24,ZA,mobile,direct,paypal,15.00,73.09,10.96,62.13,3,3,46.91,26.18,15.22,0.244970
198,5303,2021-08-02 09:10:23,IN,mobile,social,card,5.00,77.64,3.88,73.76,2,2,48.97,28.67,24.79,0.336090
199,14376,2020-07-19 07:46:37,US,mobile,referral,card,0.00,44.44,0.00,44.44,1,1,29.46,14.98,14.98,0.337084
200,6960,2021-01-21 02:11:25,GB,mobile,email,card,5.00,6.96,0.35,6.61,1,1,5.28,1.68,1.33,0.201210
201,1304,2022-09-07 13:34:13,MX,mobile,direct,cod,0.00,79.51,0.00,79.51,3,3,57.12,22.39,22.39,0.281600
202,1722,2023-01-04 17:44:56,PL,desktop,referral,card,20.00,142.71,28.54,114.17,1,1,90.54,52.17,23.63,0.206972
203,13058,2020-10-22 22:11:54,IN,desktop,social,card,20.00,134.61,26.92,107.69,2,2,78.01,56.60,29.68,0.275606
204,3496,2020-09-17 20:57:37,US,mobile,referral,card,20.00,44.80,8.96,35.84,1,1,34.67,10.13,1.17,0.032645
205,17843,2025-07-31 15:07:27,ES,mobile,social,card,15.00,43.65,6.55,37.10,1,3,29.16,14.49,7.94,0.214016
