"获取群组(Cohort)","留存月份(Month_Index)","该群组初始人数","留存活跃人数","真实留存率(Retention_Rate)"
"2021-04-01",12,323,12,0.0372
"2021-05-01",0,329,329,1.0000
"2021-05-01",1,329,7,0.0213
"2021-05-01",2,329,12,0.0365
"2021-05-01",3,329,4,0.0122
"2021-05-01",4,329,13,0.0395
"2021-05-01",5,329,10,0.0304
"2021-05-01",6,329,4,0.0122
"2021-05-01",7,329,7,0.0213
"2021-05-01",8,329,6,0.0182
"2021-05-01",9,329,11,0.0334
"2021-05-01",10,329,11,0.0334
"2021-05-01",11,329,5,0.0152
"2021-05-01",12,329,10,0.0304
"2021-06-01",0,307,307,1.0000
"2021-06-01",1,307,6,0.0195
"2021-06-01",2,307,7,0.0228
"2021-06-01",3,307,4,0.0130
"2021-06-01",4,307,10,0.0326
"2021-06-01",5,307,4,0.0130
"2021-06-01",6,307,6,0.0195
"2021-06-01",7,307,6,0.0195
"2021-06-01",8,307,6,0.0195
"2021-06-01",9,307,12,0.0391
"2021-06-01",10,307,5,0.0163
"2021-06-01",11,307,8,0.0261
"2021-06-01",12,307,4,0.0130
"2021-07-01",0,329,329,1.0000
"2021-07-01",1,329,5,0.0152
"2021-07-01",2,329,3,0.0091
"2021-07-01",3,329,6,0.0182
"2021-07-01",4,329,8,0.0243
"2021-07-01",5,329,5,0.0152
"2021-07-01",6,329,9,0.0274
"2021-07-01",7,329,5,0.0152
"2021-07-01",8,329,9,0.0274
"2021-07-01",9,329,8,0.0243
"2021-07-01",10,329,8,0.0243
"2021-07-01",11,329,8,0.0243
"2021-07-01",12,329,5,0.0152
"2021-08-01",0,310,310,1.0000
"2021-08-01",1,310,8,0.0258
"2021-08-01",2,310,6,0.0194
"2021-08-01",3,310,7,0.0226
"2021-08-01",4,310,7,0.0226
"2021-08-01",5,310,10,0.0323
"2021-08-01",6,310,6,0.0194
"2021-08-01",7,310,7,0.0226
"2021-08-01",8,310,4,0.0129
"2021-08-01",9,310,8,0.0258
"2021-08-01",10,310,13,0.0419
"2021-08-01",11,310,5,0.0161
"2021-08-01",12,310,7,0.0226
"2021-09-01",0,298,298,1.0000
"2021-09-01",1,298,11,0.0369
"2021-09-01",2,298,10,0.0336
"2021-09-01",3,298,11,0.0369
"2021-09-01",4,298,4,0.0134
"2021-09-01",5,298,11,0.0369
"2021-09-01",6,298,7,0.0235
"2021-09-01",7,298,7,0.0235
"2021-09-01",8,298,7,0.0235
"2021-09-01",9,298,8,0.0268
"2021-09-01",10,298,4,0.0134
"2021-09-01",11,298,8,0.0268
"2021-09-01",12,298,5,0.0168
"2021-10-01",0,299,299,1.0000
"2021-10-01",1,299,6,0.0201
"2021-10-01",2,299,8,0.0268
"2021-10-01",3,299,6,0.0201
"2021-10-01",4,299,4,0.0134
"2021-10-01",5,299,10,0.0334
"2021-10-01",6,299,5,0.0167
"2021-10-01",7,299,6,0.0201
"2021-10-01",8,299,8,0.0268
"2021-10-01",9,299,10,0.0334
"2021-10-01",10,299,5,0.0167
"2021-10-01",11,299,3,0.0100
"2021-10-01",12,299,9,0.0301
"2021-11-01",0,298,298,1.0000
"2021-11-01",1,298,5,0.0168
"2021-11-01",2,298,10,0.0336
"2021-11-01",3,298,6,0.0201
"2021-11-01",4,298,4,0.0134
"2021-11-01",5,298,3,0.0101
"2021-11-01",6,298,6,0.0201
"2021-11-01",7,298,6,0.0201
"2021-11-01",8,298,10,0.0336
"2021-11-01",9,298,5,0.0168
"2021-11-01",10,298,4,0.0134
"2021-11-01",11,298,8,0.0268
"2021-11-01",12,298,8,0.0268
"2021-12-01",0,283,283,1.0000
"2021-12-01",1,283,5,0.0177
"2021-12-01",2,283,10,0.0353
"2021-12-01",3,283,4,0.0141
"2021-12-01",4,283,8,0.0283
"2021-12-01",5,283,4,0.0141
"2021-12-01",6,283,2,0.0071
"2021-12-01",7,283,5,0.0177
"2021-12-01",8,283,7,0.0247
"2021-12-01",9,283,9,0.0318
"2021-12-01",10,283,3,0.0106
"2021-12-01",11,283,9,0.0318
"2021-12-01",12,283,7,0.0247
"2022-01-01",0,280,280,1.0000
"2022-01-01",1,280,3,0.0107
"2022-01-01",2,280,4,0.0143
"2022-01-01",3,280,8,0.0286
"2022-01-01",4,280,8,0.0286
"2022-01-01",5,280,3,0.0107
"2022-01-01",6,280,11,0.0393
"2022-01-01",7,280,5,0.0179
"2022-01-01",8,280,8,0.0286
"2022-01-01",9,280,6,0.0214
"2022-01-01",10,280,5,0.0179
"2022-01-01",11,280,6,0.0214
"2022-01-01",12,280,8,0.0286
"2022-02-01",0,234,234,1.0000
"2022-02-01",1,234,3,0.0128
"2022-02-01",2,234,3,0.0128
"2022-02-01",3,234,10,0.0427
"2022-02-01",4,234,7,0.0299
"2022-02-01",5,234,2,0.0085
"2022-02-01",6,234,5,0.0214
"2022-02-01",7,234,3,0.0128
"2022-02-01",8,234,4,0.0171
"2022-02-01",9,234,9,0.0385
"2022-02-01",10,234,3,0.0128
"2022-02-01",11,234,6,0.0256
"2022-02-01",12,234,4,0.0171
"2022-03-01",0,273,273,1.0000
"2022-03-01",1,273,6,0.0220
"2022-03-01",2,273,11,0.0403
"2022-03-01",3,273,5,0.0183
"2022-03-01",4,273,10,0.0366
"2022-03-01",5,273,10,0.0366
"2022-03-01",6,273,5,0.0183
"2022-03-01",7,273,9,0.0330
"2022-03-01",8,273,11,0.0403
"2022-03-01",9,273,7,0.0256
"2022-03-01",10,273,7,0.0256
"2022-03-01",11,273,4,0.0147
"2022-03-01",12,273,10,0.0366
"2022-04-01",0,240,240,1.0000
"2022-04-01",1,240,1,0.0042
"2022-04-01",2,240,5,0.0208
"2022-04-01",3,240,4,0.0167
"2022-04-01",4,240,3,0.0125
"2022-04-01",5,240,7,0.0292
"2022-04-01",6,240,4,0.0167
"2022-04-01",7,240,7,0.0292
"2022-04-01",9,240,6,0.0250
"2022-04-01",10,240,7,0.0292
"2022-04-01",11,240,6,0.0250
"2022-04-01",12,240,7,0.0292
"2022-05-01",0,232,232,1.0000
"2022-05-01",1,232,6,0.0259
"2022-05-01",2,232,3,0.0129
"2022-05-01",3,232,5,0.0216
"2022-05-01",4,232,6,0.0259
"2022-05-01",5,232,1,0.0043
"2022-05-01",6,232,5,0.0216
"2022-05-01",7,232,8,0.0345
"2022-05-01",8,232,6,0.0259
"2022-05-01",9,232,6,0.0259
"2022-05-01",10,232,6,0.0259
"2022-05-01",11,232,5,0.0216
"2022-05-01",12,232,2,0.0086
"2022-06-01",0,214,214,1.0000
"2022-06-01",1,214,6,0.0280
"2022-06-01",2,214,8,0.0374
"2022-06-01",3,214,7,0.0327
"2022-06-01",4,214,3,0.0140
"2022-06-01",5,214,8,0.0374
"2022-06-01",6,214,4,0.0187
"2022-06-01",7,214,9,0.0421
"2022-06-01",8,214,4,0.0187
"2022-06-01",9,214,4,0.0187
"2022-06-01",10,214,7,0.0327
"2022-06-01",11,214,6,0.0280
"2022-06-01",12,214,4,0.0187
"2022-07-01",0,245,245,1.0000
"2022-07-01",1,245,5,0.0204
"2022-07-01",2,245,3,0.0122
"2022-07-01",3,245,5,0.0204
"2022-07-01",4,245,3,0.0122
"2022-07-01",5,245,4,0.0163
"2022-07-01",6,245,3,0.0122
"2022-07-01",7,245,5,0.0204
"2022-07-01",8,245,5,0.0204
"2022-07-01",9,245,8,0.0327
"2022-07-01",10,245,5,0.0204
"2022-07-01",11,245,1,0.0041
"2022-07-01",12,245,6,0.0245
"2022-08-01",0,252,252,1.0000
"2022-08-01",1,252,4,0.0159
"2022-08-01",2,252,2,0.0079
"2022-08-01",3,252,5,0.0198
"2022-08-01",4,252,6,0.0238
"2022-08-01",5,252,8,0.0317
"2022-08-01",6,252,3,0.0119
"2022-08-01",7,252,5,0.0198
"2022-08-01",8,252,10,0.0397
"2022-08-01",9,252,3,0.0119
"2022-08-01",10,252,8,0.0317
"2022-08-01",11,252,2,0.0079
"2022-08-01",12,252,4,0.0159
"2022-09-01",0,200,200,1.0000
"2022-09-01",1,200,3,0.0150
"2022-09-01",2,200,7,0.0350
"2022-09-01",3,200,2,0.0100
"2022-09-01",4,200,5,0.0250
"2022-09-01",5,200,4,0.0200
"2022-09-01",6,200,5,0.0250
"2022-09-01",7,200,6,0.0300
"2022-09-01",8,200,5,0.0250
"2022-09-01",9,200,5,0.0250
"2022-09-01",10,200,7,0.0350
"2022-09-01",11,200,4,0.0200
"2022-09-01",12,200,5,0.0250
"2022-10-01",0,227,227,1.0000
"2022-10-01",1,227,8,0.0352
"2022-10-01",2,227,6,0.0264
"2022-10-01",3,227,4,0.0176
"2022-10-01",4,227,1,0.0044
"2022-10-01",5,227,6,0.0264
"2022-10-01",6,227,6,0.0264
"2022-10-01",7,227,7,0.0308
"2022-10-01",8,227,4,0.0176
"2022-10-01",9,227,7,0.0308
"2022-10-01",10,227,5,0.0220
"2022-10-01",11,227,3,0.0132
"2022-10-01",12,227,1,0.0044
"2022-11-01",0,211,211,1.0000
"2022-11-01",1,211,12,0.0569
"2022-11-01",2,211,7,0.0332
"2022-11-01",3,211,3,0.0142
"2022-11-01",4,211,5,0.0237
"2022-11-01",5,211,6,0.0284
"2022-11-01",6,211,5,0.0237
"2022-11-01",7,211,7,0.0332
"2022-11-01",8,211,3,0.0142
"2022-11-01",9,211,3,0.0142
"2022-11-01",10,211,2,0.0095
"2022-11-01",11,211,4,0.0190
"2022-11-01",12,211,7,0.0332
"2022-12-01",0,204,204,1.0000
"2022-12-01",1,204,3,0.0147
"2022-12-01",2,204,4,0.0196
"2022-12-01",3,204,6,0.0294
"2022-12-01",4,204,7,0.0343
"2022-12-01",5,204,3,0.0147
"2022-12-01",6,204,9,0.0441
"2022-12-01",7,204,2,0.0098
"2022-12-01",8,204,5,0.0245
"2022-12-01",9,204,7,0.0343
"2022-12-01",10,204,5,0.0245
"2022-12-01",11,204,6,0.0294
"2022-12-01",12,204,8,0.0392
"2023-01-01",0,230,230,1.0000
"2023-01-01",1,230,3,0.0130
"2023-01-01",2,230,5,0.0217
"2023-01-01",3,230,7,0.0304
"2023-01-01",4,230,11,0.0478
"2023-01-01",5,230,3,0.0130
"2023-01-01",6,230,5,0.0217
"2023-01-01",7,230,5,0.0217
"2023-01-01",8,230,1,0.0043
"2023-01-01",9,230,1,0.0043
"2023-01-01",10,230,9,0.0391
"2023-01-01",11,230,1,0.0043
"2023-01-01",12,230,6,0.0261
"2023-02-01",0,176,176,1.0000
"2023-02-01",1,176,3,0.0170
"2023-02-01",2,176,2,0.0114
"2023-02-01",3,176,3,0.0170
"2023-02-01",4,176,3,0.0170
"2023-02-01",5,176,5,0.0284
"2023-02-01",6,176,4,0.0227
"2023-02-01",7,176,2,0.0114
"2023-02-01",8,176,3,0.0170
"2023-02-01",9,176,3,0.0170
"2023-02-01",10,176,3,0.0170
"2023-02-01",12,176,5,0.0284
"2023-03-01",0,201,201,1.0000
"2023-03-01",1,201,3,0.0149
"2023-03-01",2,201,1,0.0050
"2023-03-01",3,201,2,0.0100
"2023-03-01",4,201,3,0.0149
"2023-03-01",5,201,9,0.0448
"2023-03-01",6,201,7,0.0348
"2023-03-01",7,201,4,0.0199
"2023-03-01",8,201,5,0.0249
"2023-03-01",9,201,5,0.0249
"2023-03-01",10,201,2,0.0100
"2023-03-01",11,201,1,0.0050
"2023-03-01",12,201,3,0.0149
"2023-04-01",0,193,193,1.0000
"2023-04-01",1,193,2,0.0104
"2023-04-01",2,193,7,0.0363
"2023-04-01",3,193,5,0.0259
"2023-04-01",4,193,5,0.0259
"2023-04-01",5,193,2,0.0104
"2023-04-01",6,193,2,0.0104
"2023-04-01",7,193,1,0.0052
"2023-04-01",8,193,3,0.0155
"2023-04-01",9,193,3,0.0155
"2023-04-01",10,193,3,0.0155
"2023-04-01",11,193,4,0.0207
"2023-04-01",12,193,6,0.0311
"2023-05-01",0,192,192,1.0000
"2023-05-01",1,192,2,0.0104
"2023-05-01",2,192,3,0.0156
"2023-05-01",3,192,7,0.0365
"2023-05-01",4,192,4,0.0208
"2023-05-01",5,192,1,0.0052
"2023-05-01",6,192,3,0.0156
"2023-05-01",7,192,7,0.0365
"2023-05-01",8,192,4,0.0208
"2023-05-01",9,192,2,0.0104
"2023-05-01",10,192,2,0.0104
"2023-05-01",11,192,4,0.0208
"2023-05-01",12,192,1,0.0052
"2023-06-01",0,183,183,1.0000
"2023-06-01",1,183,3,0.0164
"2023-06-01",2,183,5,0.0273
"2023-06-01",3,183,4,0.0219
"2023-06-01",4,183,5,0.0273
"2023-06-01",5,183,4,0.0219
"2023-06-01",6,183,5,0.0273
"2023-06-01",7,183,5,0.0273
"2023-06-01",8,183,2,0.0109
"2023-06-01",9,183,5,0.0273
"2023-06-01",10,183,9,0.0492
"2023-06-01",11,183,4,0.0219
"2023-06-01",12,183,9,0.0492
"2023-07-01",0,194,194,1.0000
"2023-07-01",1,194,2,0.0103
"2023-07-01",2,194,5,0.0258
"2023-07-01",3,194,2,0.0103
"2023-07-01",4,194,4,0.0206
"2023-07-01",5,194,7,0.0361
"2023-07-01",6,194,6,0.0309
"2023-07-01",7,194,5,0.0258
"2023-07-01",8,194,3,0.0155
"2023-07-01",9,194,5,0.0258
"2023-07-01",10,194,6,0.0309
"2023-07-01",11,194,7,0.0361
"2023-07-01",12,194,8,0.0412
"2023-08-01",0,172,172,1.0000
"2023-08-01",1,172,3,0.0174
"2023-08-01",2,172,7,0.0407
"2023-08-01",3,172,5,0.0291
"2023-08-01",4,172,6,0.0349
"2023-08-01",5,172,3,0.0174
"2023-08-01",6,172,5,0.0291
"2023-08-01",7,172,3,0.0174
"2023-08-01",8,172,3,0.0174
"2023-08-01",9,172,3,0.0174
"2023-08-01",10,172,2,0.0116
"2023-08-01",11,172,5,0.0291
"2023-08-01",12,172,7,0.0407
"2023-09-01",0,159,159,1.0000
"2023-09-01",1,159,4,0.0252
"2023-09-01",2,159,7,0.0440
"2023-09-01",3,159,9,0.0566
"2023-09-01",4,159,6,0.0377
"2023-09-01",5,159,5,0.0314
"2023-09-01",6,159,5,0.0314
"2023-09-01",7,159,1,0.0063
"2023-09-01",8,159,6,0.0377
"2023-09-01",9,159,3,0.0189
"2023-09-01",10,159,3,0.0189
"2023-09-01",11,159,3,0.0189
"2023-09-01",12,159,1,0.0063
"2023-10-01",0,176,176,1.0000
"2023-10-01",1,176,2,0.0114
"2023-10-01",2,176,4,0.0227
"2023-10-01",3,176,3,0.0170
"2023-10-01",4,176,3,0.0170
"2023-10-01",5,176,4,0.0227
"2023-10-01",6,176,8,0.0455
"2023-10-01",7,176,7,0.0398
"2023-10-01",8,176,3,0.0170
"2023-10-01",9,176,4,0.0227
"2023-10-01",10,176,2,0.0114
"2023-10-01",11,176,4,0.0227
"2023-10-01",12,176,4,0.0227
"2023-11-01",0,136,136,1.0000
"2023-11-01",1,136,4,0.0294
"2023-11-01",2,136,3,0.0221
"2023-11-01",3,136,3,0.0221
"2023-11-01",4,136,4,0.0294
"2023-11-01",5,136,2,0.0147
"2023-11-01",6,136,2,0.0147
"2023-11-01",7,136,4,0.0294
"2023-11-01",8,136,3,0.0221
"2023-11-01",9,136,3,0.0221
"2023-11-01",10,136,7,0.0515
"2023-11-01",11,136,4,0.0294
"2023-11-01",12,136,2,0.0147
"2023-12-01",0,170,170,1.0000
"2023-12-01",1,170,4,0.0235
"2023-12-01",2,170,5,0.0294
"2023-12-01",4,170,6,0.0353
"2023-12-01",5,170,4,0.0235
"2023-12-01",6,170,3,0.0176
"2023-12-01",7,170,3,0.0176
"2023-12-01",8,170,1,0.0059
"2023-12-01",9,170,3,0.0176
"2023-12-01",10,170,2,0.0118
"2023-12-01",11,170,5,0.0294
"2023-12-01",12,170,5,0.0294
"2024-01-01",0,150,150,1.0000
"2024-01-01",1,150,2,0.0133
"2024-01-01",2,150,3,0.0200
"2024-01-01",3,150,3,0.0200
"2024-01-01",4,150,5,0.0333
"2024-01-01",5,150,4,0.0267
"2024-01-01",6,150,11,0.0733
"2024-01-01",7,150,4,0.0267
"2024-01-01",8,150,3,0.0200
"2024-01-01",9,150,3,0.0200
"2024-01-01",10,150,1,0.0067
"2024-01-01",11,150,6,0.0400
"2024-01-01",12,150,4,0.0267
"2024-02-01",0,126,126,1.0000
"2024-02-01",1,126,3,0.0238
"2024-02-01",2,126,4,0.0317
"2024-02-01",3,126,4,0.0317
"2024-02-01",4,126,3,0.0238
"2024-02-01",5,126,3,0.0238
"2024-02-01",6,126,10,0.0794
"2024-02-01",7,126,5,0.0397
"2024-02-01",8,126,4,0.0317
"2024-02-01",9,126,3,0.0238
"2024-02-01",10,126,4,0.0317
"2024-02-01",11,126,1,0.0079
"2024-02-01",12,126,1,0.0079
"2024-03-01",0,143,143,1.0000
"2024-03-01",1,143,3,0.0210
"2024-03-01",2,143,7,0.0490
"2024-03-01",3,143,3,0.0210
"2024-03-01",4,143,1,0.0070
"2024-03-01",5,143,2,0.0140
"2024-03-01",6,143,1,0.0070
"2024-03-01",7,143,3,0.0210
"2024-03-01",8,143,6,0.0420
"2024-03-01",9,143,4,0.0280
"2024-03-01",10,143,2,0.0140
"2024-03-01",11,143,1,0.0070
"2024-03-01",12,143,6,0.0420
"2024-04-01",0,117,117,1.0000
"2024-04-01",1,117,5,0.0427
"2024-04-01",2,117,2,0.0171
"2024-04-01",3,117,1,0.0085
"2024-04-01",4,117,6,0.0513
"2024-04-01",5,117,1,0.0085
"2024-04-01",7,117,5,0.0427
"2024-04-01",8,117,1,0.0085
"2024-04-01",9,117,1,0.0085
"2024-04-01",10,117,2,0.0171
"2024-04-01",11,117,1,0.0085
"2024-04-01",12,117,6,0.0513
"2024-05-01",0,128,128,1.0000
"2024-05-01",1,128,3,0.0234
"2024-05-01",2,128,1,0.0078
"2024-05-01",3,128,5,0.0391
"2024-05-01",4,128,4,0.0313
"2024-05-01",5,128,3,0.0234
"2024-05-01",6,128,4,0.0313
"2024-05-01",7,128,7,0.0547
"2024-05-01",8,128,2,0.0156
"2024-05-01",9,128,1,0.0078
"2024-05-01",10,128,6,0.0469
"2024-05-01",12,128,2,0.0156
"2024-06-01",0,112,112,1.0000
"2024-06-01",1,112,4,0.0357
"2024-06-01",2,112,4,0.0357
"2024-06-01",3,112,1,0.0089
"2024-06-01",4,112,1,0.0089
"2024-06-01",5,112,4,0.0357
"2024-06-01",6,112,2,0.0179
"2024-06-01",7,112,3,0.0268
"2024-06-01",8,112,5,0.0446
"2024-06-01",9,112,6,0.0536
"2024-06-01",10,112,3,0.0268
"2024-06-01",11,112,1,0.0089
"2024-06-01",12,112,2,0.0179
"2024-07-01",0,138,138,1.0000
"2024-07-01",1,138,5,0.0362
"2024-07-01",2,138,3,0.0217
"2024-07-01",3,138,4,0.0290
"2024-07-01",4,138,7,0.0507
"2024-07-01",5,138,3,0.0217
"2024-07-01",6,138,4,0.0290
"2024-07-01",7,138,5,0.0362
"2024-07-01",8,138,1,0.0072
"2024-07-01",9,138,7,0.0507
"2024-07-01",10,138,3,0.0217
"2024-07-01",11,138,3,0.0217
"2024-07-01",12,138,3,0.0217
"2024-08-01",0,121,121,1.0000
"2024-08-01",2,121,4,0.0331
"2024-08-01",3,121,3,0.0248
"2024-08-01",4,121,3,0.0248
"2024-08-01",5,121,1,0.0083
"2024-08-01",7,121,3,0.0248
"2024-08-01",8,121,2,0.0165
"2024-08-01",9,121,3,0.0248
"2024-08-01",10,121,5,0.0413
"2024-08-01",11,121,1,0.0083
"2024-08-01",12,121,1,0.0083
"2024-09-01",0,110,110,1.0000
"2024-09-01",1,110,2,0.0182
"2024-09-01",2,110,1,0.0091
"2024-09-01",3,110,3,0.0273
"2024-09-01",4,110,2,0.0182
"2024-09-01",5,110,2,0.0182
"2024-09-01",6,110,1,0.0091
"2024-09-01",7,110,2,0.0182
"2024-09-01",8,110,3,0.0273
