"customer_id","recency_days","frequency","total_monetary"
14283,10,4,1011.87
15316,360,2,1011.63
10722,1042,1,1009.92
3373,615,3,1009.78
6678,296,5,1009.62
7335,97,4,1008.75
12862,467,3,1008.72
19160,823,4,1008.36
12369,74,3,1008.25
16160,616,2,1007.99
14400,564,2,1003.39
4334,69,4,1003.0
5292,60,3,1002.65
11347,514,2,1001.22
12296,759,1,1000.74
3763,286,4,1000.7
19450,1404,1,999.18
16246,131,4,999.16
10031,464,2,998.7
12090,225,3,997.41
7834,302,4,996.38
6421,548,2,996.06
498,17,5,996.04
15833,10,3,995.76
11265,281,2,994.51
18334,175,3,993.79
11861,1611,1,992.3
2510,237,2,992.2
9848,924,4,992.0
15757,1245,3,990.97
745,16,3,989.98
2571,8,4,988.89
4403,217,5,988.85
6332,73,2,987.11
18957,957,3,985.66
8684,100,5,985.62
15731,182,2,985.5
17978,1228,3,983.62
9287,209,5,983.61
13751,109,7,983.46
14177,1234,2,983.37
6152,71,2,983.33
19690,129,5,981.31
13747,639,4,981.24
3609,323,5,980.94
10871,154,5,980.01
4933,255,5,979.95
2133,1124,3,979.85
19427,395,6,979.47
11606,301,2,978.35
16286,705,3,977.65
4413,270,3,975.65
16421,532,3,975.04
11144,184,6,974.85
11628,856,3,974.03
13108,45,3,973.83
19341,128,5,973.5
11228,1434,2,972.36
13210,1600,1,971.75
12876,704,6,970.58
4735,137,3,968.71
79,509,3,968.37
5922,1983,2,967.75
644,430,5,966.76
8647,768,4,966.62
18448,968,5,966.33
5668,458,3,965.75
3989,431,5,965.33
10139,971,6,964.76
18385,827,1,964.34
793,341,2,964.02
8791,284,3,963.6
2819,338,4,963.55
9169,1876,2,963.03
5813,1599,3,962.59
3779,228,4,962.47
261,1579,2,962.45
10565,674,1,962.18
16967,319,4,961.42
16985,604,3,960.84
15059,503,3,960.72
8560,514,2,960.34
8960,109,5,960.18
12511,266,7,959.82
11965,188,2,959.48
8373,1400,3,959.41
289,642,2,959.12
17572,346,3,959.06
3754,518,3,958.49
6627,690,2,958.06
7648,1119,4,957.99
13014,579,4,957.94
10973,1449,1,957.21
19785,342,6,956.74
13999,823,2,956.06
14301,76,3,955.4
19151,303,4,954.82
17055,353,5,954.79
17832,327,4,954.65
3116,25,6,953.89
18,380,4,953.55
1816,551,4,953.33
12647,2,5,952.73
4332,1315,1,952.26
4086,187,2,952.13
9109,0,4,951.97
14747,750,2,951.6
16968,588,3,949.84
13987,548,5,949.47
4515,314,3,948.35
14383,167,3,948.28
3641,1090,3,947.7
7756,1562,2,947.48
17615,384,4,947.32
15060,965,2,947.09
1427,680,3,946.43
16845,385,2,946.19
6017,122,5,946.06
18372,40,4,944.91
6824,49,4,944.67
1469,230,3,944.37
13230,420,2,944.24
16114,19,6,943.48
4549,411,6,942.93
18180,273,5,942.39
4447,425,2,941.47
15843,640,2,941.36
6216,609,2,939.88
5768,293,5,939.06
12958,804,2,937.96
16116,800,2,937.83
15951,559,2,937.81
13895,624,1,937.22
10904,203,5,936.79
6859,522,4,936.66
2306,49,5,935.62
9835,618,3,935.29
3501,160,6,933.92
13020,1695,1,933.88
17588,142,4,932.59
5674,473,3,931.74
14893,831,3,931.7
16772,124,3,931.32
13050,375,3,930.92
14145,468,4,930.32
265,256,4,930.08
8114,354,4,929.86
5333,294,1,928.65
17193,731,2,928.48
11796,148,2,927.72
18818,366,5,926.65
15446,235,6,926.02
818,1075,2,925.6
17696,199,3,925.59
9493,568,2,925.59
5963,59,6,924.77
2638,59,3,924.71
5133,344,6,923.88
18392,214,3,922.62
9963,24,4,922.55
13246,890,1,922.38
1460,414,4,922.21
15128,66,4,921.69
18933,253,5,921.58
11876,728,3,921.49
17278,702,5,920.6
14549,566,4,920.42
16949,258,4,920.39
18012,592,2,919.73
13671,1237,1,917.19
769,876,2,916.18
11502,255,5,916.13
17304,656,4,915.13
14698,331,3,914.54
2121,141,6,913.92
10689,26,4,913.44
2749,126,5,913.04
1937,241,3,912.55
3600,223,4,912.23
7444,474,3,911.03
2629,301,6,910.94
14221,347,2,910.84
9471,186,4,910.7
17845,711,4,909.72
16174,192,4,909.56
19535,1110,4,908.92
14869,663,3,907.82
9335,10,4,907.68
14271,1722,1,907.15
9624,972,2,906.64
15088,744,2,906.34
8240,829,1,906.02
13328,783,1,905.75
6792,198,4,905.54
15502,821,5,905.4
314,196,3,904.43
14043,353,4,904.33
7963,85,5,903.99
17929,892,1,903.9
18471,685,3,903.9
16863,446,4,903.84
14783,333,3,903.67
10220,758,4,903.45
15795,446,2,903.22
1344,591,4,902.61
3391,184,4,901.53
4109,33,4,901.19
3586,696,3,900.03
17222,4,4,899.91
15597,867,2,899.57
15784,833,4,899.57
11747,120,7,899.49
6025,709,4,898.97
8031,502,4,898.83
2960,1252,3,897.39
14634,1030,3,897.36
2807,272,4,896.95
5716,26,3,896.75
7825,332,4,896.37
17141,343,5,896.25
19771,792,3,896.22
14732,131,4,894.72
6537,481,4,894.27
10770,295,2,893.99
10392,1034,4,893.46
9133,572,2,893.05
3098,415,4,892.17
996,986,3,891.81
18741,459,7,891.75
6687,387,1,891.58
10081,1057,4,891.56
16262,768,5,890.53
4100,226,3,890.45
19401,1812,2,890.28
6201,3,2,890.26
18138,497,5,889.73
17242,123,3,889.33
3930,255,4,888.73
11618,1672,1,888.19
16184,255,2,887.8
15414,892,5,886.95
3871,382,2,886.95
1106,657,4,886.86
8953,293,3,886.72
4388,594,3,886.51
17551,512,4,886.2
5998,853,4,884.99
16598,162,3,884.66
4800,119,5,884.36
14662,452,3,884.3
2645,20,3,884.07
18107,663,3,883.55
11185,383,5,883.33
14315,291,6,882.68
2345,22,6,882.04
11576,577,2,881.27
7420,31,3,881.27
16464,230,4,880.99
2624,1617,2,880.69
17705,343,5,880.19
15444,773,4,880.03
7682,198,2,879.82
7606,362,3,879.67
7507,1261,4,878.33
8399,334,4,877.97
198,414,1,877.96
12624,787,4,877.91
14847,276,3,877.72
17052,315,6,877.51
16603,600,3,877.18
8952,792,3,876.54
6417,831,3,876.5
17759,526,3,875.69
14960,234,6,875.54
17903,489,2,875.39
11044,2,3,875.28
2428,303,4,874.64
11126,311,5,873.34
19487,987,2,872.75
12491,403,4,871.93
9494,793,3,871.9
14874,403,3,871.51
13842,218,2,870.94
10270,242,3,870.92
15493,1508,1,870.81
15106,90,4,870.74
15756,62,6,870.59
382,430,2,869.78
4493,450,6,869.59
13199,1140,2,869.59
316,330,3,869.53
6509,284,5,869.29
2265,874,2,869.15
9492,421,5,868.73
14107,325,3,868.45
12780,536,3,868.09
11511,679,2,867.98
8568,1013,3,867.96
2992,342,3,867.85
4354,756,6,867.73
17932,44,4,866.84
6865,93,8,866.75
7920,542,3,866.59
515,364,3,866.28
2040,378,5,866.19
10372,155,6,866.15
4399,1010,1,865.6
17,599,3,865.54
11253,9,5,864.79
13356,93,2,864.75
482,654,3,864.43
6437,154,5,864.3
19882,280,3,864.04
4001,1558,1,863.99
12124,0,4,863.06
8216,328,2,863.05
161,1038,2,862.84
1872,534,4,862.19
15835,709,4,861.9
4141,399,3,861.83
18129,382,6,860.91
9450,142,2,860.82
487,467,2,860.56
13170,793,3,860.33
10409,89,4,860.14
11048,49,3,859.8
12129,505,4,859.34
334,125,5,859.27
4950,439,4,859.12
2081,166,5,859.06
9002,225,4,858.97
8598,87,5,858.56
17037,1101,2,858.28
2519,481,3,857.27
19219,1038,3,857.1
16782,97,4,856.55
7163,64,3,856.38
17283,217,3,856.3
3369,198,4,856.23
4772,920,4,855.59
8154,364,3,855.56
14591,520,3,855.56
6932,274,5,855.35
12866,430,3,853.77
2142,162,6,853.54
2903,382,2,853.29
795,1102,2,853.08
17084,1168,2,851.32
18573,351,3,850.91
16239,251,4,850.32
806,527,3,850.27
17097,39,5,849.37
13602,491,3,849.23
8227,26,3,849.04
14376,105,4,848.71
17492,289,3,848.18
19534,317,3,848.11
4032,122,3,847.83
18421,578,5,847.27
14509,877,2,847.26
11895,187,5,847.04
5572,188,1,847.03
5374,257,2,846.36
475,22,4,846.36
3647,754,3,845.94
16809,49,5,845.65
18156,222,3,845.35
2934,379,4,845.23
18022,407,6,844.93
10917,1363,4,844.83
4840,880,2,843.26
11001,1336,2,843.23
4210,841,2,843.22
9530,629,4,842.89
14269,1235,2,842.76
5570,180,7,841.93
14326,532,3,841.59
2284,126,2,840.85
5683,175,1,840.64
18632,78,4,840.55
18399,982,2,840.54
19581,708,4,839.79
1602,367,3,839.18
5927,333,2,838.57
4472,44,3,838.52
15750,1548,3,838.35
2752,1492,4,837.86
14421,770,3,837.54
13368,516,5,837.17
1302,658,2,837.01
10843,36,5,836.89
7013,441,4,836.23
16505,1822,1,836.07
16441,603,1,835.69
3320,379,3,834.66
3050,716,2,834.23
7149,109,6,833.98
6445,127,3,833.88
2481,383,3,833.63
14412,513,4,833.26
14962,296,2,833.19
5294,256,4,832.23
653,1030,4,831.51
8894,567,3,831.47
3849,584,4,830.7
16069,186,4,830.33
18325,312,2,829.68
16310,836,3,829.63
3615,38,5,829.56
2492,427,2,829.43
3264,886,3,829.43
2671,289,3,829.09
13008,502,2,829.06
1122,490,2,828.99
16369,1241,2,828.91
7560,891,4,828.89
6906,526,4,828.85
16240,862,2,828.29
12904,293,4,828.22
906,268,5,827.95
5901,352,2,827.87
14660,202,3,827.83
13121,170,4,827.77
1454,255,4,827.46
8972,427,2,827.34
19909,1070,2,827.32
15993,380,3,826.66
9000,1192,3,826.63
16553,148,3,826.22
8099,434,4,825.75
17375,255,2,825.74
12613,965,4,825.27
4480,642,5,824.98
18813,886,3,824.89
1724,1303,3,824.71
18864,337,3,824.7
5858,56,4,824.66
9749,259,3,824.45
17286,544,3,823.81
7791,781,1,823.58
9241,51,5,823.21
4362,442,4,822.52
7313,218,5,821.1
13835,1857,2,820.87
17209,513,5,820.71
17728,562,4,820.62
8877,549,6,820.53
3733,147,4,820.48
16448,323,3,820.23
11508,387,3,819.42
11243,693,2,819.33
9181,426,3,819.06
10853,135,3,818.7
3326,153,4,818.29
17469,58,5,818.09
1376,535,2,817.82
17518,1931,2,817.29
19243,1132,1,816.48
16398,340,5,816.43
12956,40,3,816.39
1408,249,3,816.28
6629,530,6,816.27
10880,41,5,816.25
3951,757,2,815.61
3777,657,2,815.46
9982,539,4,815.08
16633,994,3,814.76
2604,158,5,814.24
441,1958,1,813.98
8252,212,4,813.92
14659,397,3,813.91
19625,394,4,813.25
12788,799,4,813.07
16699,1019,5,813.0
9685,1394,1,812.99
4934,1042,2,812.19
6455,160,5,812.15
14752,43,6,811.74
9632,240,4,811.05
15571,392,4,810.88
18355,267,3,810.77
5382,769,3,810.56
11456,596,5,810.34
12571,720,3,809.03
3394,1170,4,808.62
2079,42,3,808.53
1752,1430,4,807.93
18940,836,4,807.81
4726,12,5,806.55
9340,127,7,806.54
12419,260,4,806.34
15117,53,3,806.25
12743,490,3,805.99
5896,75,2,805.93
17612,486,3,805.72
17408,618,3,805.49
17631,441,3,805.27
8425,1239,1,805.03
18535,745,2,804.7
8416,1077,4,804.15
8473,161,3,803.96
6234,688,4,803.79
5391,244,2,803.71
10792,38,3,803.4
12717,164,5,802.76
7118,452,4,802.72
1079,658,1,802.62
18717,762,3,802.04
16785,300,2,801.67
1651,84,4,801.31
1785,1032,3,801.12
18134,1240,2,800.95
362,350,4,800.15
5505,318,3,800.1
12407,133,2,799.86
3033,707,3,799.81
5772,593,4,799.73
18380,1105,2,799.18
866,21,4,798.98
12326,658,5,798.7
18923,5,3,798.63
16588,801,4,798.23
11235,59,2,798.14
5971,505,3,798.0
7148,853,2,797.19
4631,1442,2,797.17
6324,182,3,796.94
1608,286,1,796.83
1464,203,4,796.61
13465,362,4,796.59
15215,450,6,796.25
11553,33,3,796.21
8875,766,4,795.94
8626,407,2,795.93
573,412,2,795.77
1819,488,4,795.76
8449,1117,1,795.47
9292,38,4,795.45
13811,175,4,794.8
7165,71,4,794.75
12679,178,3,794.71
2410,756,5,793.82
18195,280,2,793.49
12446,637,5,793.39
239,260,2,793.28
2018,243,2,793.08
13965,50,2,792.76
7526,262,2,792.38
8574,1543,1,792.27
982,2102,1,792.09
10727,368,4,792.07
10359,267,3,791.48
7990,610,1,791.24
1477,64,5,790.75
4563,145,4,790.72
10807,454,2,790.52
16401,555,2,790.32
4855,1425,2,788.99
7264,110,2,788.73
9338,576,4,788.62
14344,1265,1,788.21
15333,1426,3,788.08
19337,839,6,787.75
1808,3,3,787.7
4508,545,5,786.87
4059,84,3,786.69
18120,1107,3,786.51
7259,1910,1,786.47
915,345,4,786.19
14756,327,3,785.81
10884,5,3,784.52
9877,1989,3,784.47
19096,73,3,782.81
19026,1248,2,782.69
7830,819,2,782.59
7982,563,3,782.52
5647,412,5,782.19
8376,755,3,781.52
1486,290,2,780.6
3235,1411,3,780.43
5280,1697,3,780.25
5115,795,3,780.05
14090,216,3,779.84
12334,10,1,779.6
1426,378,2,779.32
5230,251,3,779.22
9827,114,4,779.19
3578,265,3,778.73
17798,1007,3,778.59
1890,1854,3,777.83
12778,1387,3,777.47
13642,615,5,777.31
1217,1132,3,776.31
343,1004,3,776.3
13098,2035,1,776.03
9381,37,5,775.97
19150,9,3,775.97
2780,754,4,775.79
12109,214,4,775.4
1140,298,3,775.1
9515,207,3,774.85
16335,372,5,774.74
13780,892,2,774.3
4149,1772,1,773.79
16092,136,3,773.65
18194,163,5,773.57
2169,54,4,773.54
1328,683,3,773.46
15335,242,3,773.37
802,86,5,772.52
3124,589,3,772.46
14299,449,4,772.26
3823,1675,1,771.94
2475,624,3,771.91
16558,861,4,771.71
4432,1209,2,771.69
11609,655,6,770.73
9329,435,2,770.63
5010,77,2,770.44
1151,205,6,769.94
3443,811,2,769.94
9214,433,3,769.19
1891,302,2,768.72
4235,87,4,768.68
7496,210,3,768.58
10874,367,5,768.09
9053,747,5,768.0
7914,235,6,767.98
16377,263,4,767.94
16139,401,2,767.26
17628,971,4,766.09
16420,206,2,765.73
4630,713,1,765.68
17026,319,3,764.98
18477,1997,1,764.73
11728,446,2,764.2
2557,410,4,764.16
10157,814,3,763.77
6093,1556,1,763.76
6365,1083,2,762.79
3708,1306,2,762.48
9118,16,6,762.41
2516,55,3,762.32
4079,671,4,762.04
14880,1179,3,761.85
7951,24,3,761.7
18626,607,2,761.6
3703,743,4,761.43
2719,85,6,761.35
16880,332,3,761.0
7130,318,4,761.0
566,634,3,760.36
13667,1783,2,760.22
8629,334,3,760.05
13679,327,2,759.95
9623,845,5,759.41
13908,336,3,759.28
15401,895,3,759.26
5078,50,5,759.07
17224,1611,3,758.87
11587,32,3,758.82
13622,5,4,758.49
17790,628,4,758.49
15142,231,4,757.85
3027,461,2,757.69
8514,118,4,757.59
12685,146,4,756.63
19876,429,4,756.14
7030,437,2,756.12
1973,7,5,756.09
14615,57,5,755.61
4343,477,6,755.47
8992,1401,2,755.34
18794,292,2,755.12
4842,77,3,754.99
17793,93,2,754.61
606,748,2,754.54
17593,1059,3,754.16
13577,1921,2,753.89
12664,1065,2,753.59
5925,15,3,753.57
1007,8,4,753.39
8679,1085,5,752.91
5175,167,4,752.64
14604,541,3,752.22
13097,1729,2,751.71
18983,60,6,751.55
13158,532,4,750.88
8494,85,4,750.82
17535,122,3,750.79
99,35,4,750.79
6292,888,3,750.73
19751,81,3,750.55
12579,1053,3,750.39
12669,283,3,750.27
11671,1364,2,750.15
9642,277,2,750.04
18147,56,5,750.01
10050,8,3,749.51
6616,506,4,748.97
10575,108,4,748.22
16803,1888,1,748.1
14153,940,1,747.76
5117,871,4,747.73
4809,505,3,747.65
12607,777,3,747.2
15585,315,4,747.15
13302,222,6,746.88
6043,531,3,746.83
91,72,5,746.69
7086,350,5,746.52
19564,1746,2,746.48
8518,603,2,746.26
3071,1364,2,746.13
8554,42,2,745.24
16862,1586,1,744.08
17092,73,4,742.8
415,820,5,742.73
14530,157,2,742.62
7243,62,2,742.38
4226,614,2,742.13
4179,556,4,742.12
10847,196,3,741.93
7637,551,3,741.91
15371,17,3,741.86
9015,70,2,741.63
14382,33,4,741.61
11678,117,2,741.6
15728,655,5,740.82
1257,223,3,740.7
15898,268,3,740.56
2993,1219,3,740.38
8066,500,3,740.31
8691,646,3,740.29
6790,592,4,740.15
18829,1461,3,740.11
757,153,2,739.93
15304,83,2,739.71
19293,712,3,739.49
3490,430,4,739.41
8014,1756,3,739.01
19993,1220,3,738.87
14354,345,3,737.81
10728,428,3,737.76
10784,214,2,737.6
4448,827,1,737.5
18735,225,3,737.06
6587,30,2,736.99
12939,186,4,736.73
17233,29,5,736.62
11792,928,2,736.38
510,1328,3,734.48
1177,418,3,734.38
17442,164,3,734.24
12827,178,3,734.21
17965,14,7,733.63
18581,465,1,733.56
1901,595,4,733.51
337,1860,1,733.48
17786,1269,2,733.37
19512,234,4,733.16
