order_month,orders,units,gross_revenue,discount_amount,net_revenue,net_profit,aov,net_margin,mom_net_revenue_growth,yoy_net_revenue_growth,yoy_order_growth,yoy_aov_growth
2023-06-01,467,1073,73187.32,5045.82,68141.50,22208.21,145.913276,0.325913,0.068729,0.163180,0.0424,0.1158555033
2023-07-01,509,1187,76245.21,5244.71,71000.50,21545.43,139.490177,0.303455,0.041957,0.011525,0.0325,-0.0202715663
2023-08-01,491,1198,68526.51,4451.65,64074.86,19663.98,130.498697,0.306891,-0.097544,-0.100724,-0.0594,-0.0439469380
2023-09-01,457,1063,63929.89,4376.19,59553.70,18211.38,130.314442,0.305798,-0.070561,-0.041789,0.0458,-0.0837242074
2023-10-01,485,1178,73378.49,4362.80,69015.69,21523.37,142.300392,0.311862,0.158882,0.086891,0.0232,0.0622402389
2023-11-01,463,1012,64728.13,4138.69,60589.44,18945.85,130.862721,0.312692,-0.122092,-0.059231,-0.0493,-0.0104652429
2023-12-01,493,1157,77713.29,5323.92,72389.37,22510.87,146.834422,0.310969,0.194752,0.143676,0.0314,0.1088786926
2024-01-01,494,1088,67831.22,4378.93,63452.29,19710.66,128.445931,0.310637,-0.123458,-0.129542,-0.0370,-0.0960626974
2024-02-01,439,1052,64420.54,4542.21,59878.33,18774.91,136.397107,0.313551,-0.056325,0.139686,0.0403,0.0955524223
2024-03-01,478,1077,65525.73,4579.05,60946.68,18497.62,127.503515,0.303505,0.017842,-0.066883,-0.0104,-0.0571224577
2024-04-01,452,1005,58899.97,4295.63,54604.34,16471.78,120.806062,0.301657,-0.104064,-0.096791,-0.0700,-0.0288505034
2024-05-01,474,1097,65230.90,4626.66,60604.24,18361.03,127.857046,0.302966,0.109880,-0.049485,0.0085,-0.0575066333
2024-06-01,451,1017,62509.66,4769.28,57740.38,17767.08,128.027450,0.307706,-0.047255,-0.152640,-0.0343,-0.1225784691
2024-07-01,509,1163,70876.27,4993.03,65883.24,19820.20,129.436621,0.300838,0.141025,-0.072074,0.0000,-0.0720735769
2024-08-01,504,1183,75460.04,4877.22,70582.82,21860.86,140.045278,0.309719,0.071332,0.101568,0.0265,0.0731546078
2024-09-01,456,1026,65294.69,4451.59,60843.10,18971.58,133.427851,0.311812,-0.137990,0.021651,-0.0022,0.0238915116
2024-10-01,503,1184,74453.07,5436.80,69016.27,20775.47,137.209284,0.301023,0.134332,0.000008,0.0371,-0.0357771889
2024-11-01,497,1135,68659.33,4967.52,63691.81,19009.96,128.152535,0.298468,-0.077148,0.051203,0.0734,-0.0207101456
2024-12-01,517,1175,74914.40,5877.45,69036.95,20793.69,133.533752,0.301197,0.083922,-0.046311,0.0487,-0.0905827790
2025-01-01,512,1165,79729.16,6007.88,73721.28,22536.21,143.986875,0.305695,0.067853,0.161838,0.0364,0.1209921083
2025-02-01,441,1054,65326.09,4310.80,61015.29,18588.33,138.356667,0.304650,-0.172352,0.018988,0.0046,0.0143665804
2025-03-01,512,1172,76869.20,4682.20,72187.00,22210.64,140.990234,0.307682,0.183097,0.184429,0.0711,0.1057752722
2025-04-01,479,1070,65001.70,4381.65,60620.05,18296.22,126.555428,0.301818,-0.160236,0.110169,0.0597,0.0475917012
2025-05-01,468,1071,71877.90,5456.99,66420.91,19569.63,141.925021,0.294631,0.095692,0.095978,-0.0127,0.1100289381
2025-06-01,468,1032,67898.52,4945.36,62953.16,19283.97,134.515299,0.306323,-0.052209,0.090280,0.0377,0.0506754528
2025-07-01,470,1064,60890.30,4706.39,56183.91,17274.45,119.540234,0.307463,-0.107528,-0.147220,-0.0766,-0.0764573961
2025-08-01,521,1210,76097.16,5004.15,71093.01,21443.04,136.454914,0.301620,0.265362,0.007228,0.0337,-0.0256371657
2025-09-01,514,1184,75148.78,5762.45,69386.33,20412.60,134.992860,0.294188,-0.024006,0.140414,0.1272,0.0117292528
2025-10-01,493,1133,74141.02,5406.69,68734.33,21273.58,139.420548,0.309504,-0.009397,-0.004085,-0.0199,0.0161159940
