customer_id,last_order_time,recency_days,frequency,net_monetary,customer_net_profit,aov,r_score,f_score,m_score,rfm_code,segment
56,2024-01-12 20:28:44,658,3,220.52,82.07,73.506667,3,3,3,333,Established / Mid-value
57,2023-08-20 21:19:06,803,1,97.38,47.29,97.380000,3,1,2,312,Established / Mid-value
58,2023-07-09 07:09:12,845,2,246.35,62.30,123.175000,3,2,3,323,Established / Mid-value
59,2022-02-28 18:05:27,1341,1,81.92,17.17,81.920000,1,1,2,112,Dormant
60,2023-10-31 02:12:23,731,3,191.16,79.35,63.720000,3,3,3,333,Established / Mid-value
61,2025-09-06 19:27:19,55,3,288.47,122.07,96.156667,5,3,4,534,Established / Mid-value
62,2021-06-29 08:52:04,1585,3,393.98,106.87,131.326667,1,3,4,134,High-value at Risk
63,2024-04-07 13:52:34,572,1,239.32,77.84,239.320000,3,1,3,313,Established / Mid-value
64,2023-10-02 07:39:08,760,1,32.27,12.66,32.270000,3,1,1,311,Established / Mid-value
65,2023-11-10 20:23:35,721,1,64.69,10.68,64.690000,3,1,1,311,Established / Mid-value
66,2022-12-03 05:04:58,1063,2,311.93,96.72,155.965000,2,2,4,224,High-value at Risk
68,2021-08-23 10:56:19,1530,2,196.32,60.05,98.160000,1,2,3,123,Dormant
69,2025-05-19 20:44:34,165,2,502.80,62.92,251.400000,5,2,5,525,New / Promising
70,2023-02-12 09:38:59,992,3,132.72,39.18,44.240000,2,3,2,232,Established / Mid-value
72,2024-07-13 01:25:11,475,2,215.50,84.26,107.750000,4,2,3,423,New / Promising
73,2023-08-03 16:25:32,820,2,367.86,153.06,183.930000,3,2,4,324,Established / Mid-value
74,2024-12-07 13:26:11,328,5,429.62,122.10,85.924000,4,5,4,454,Champions
75,2025-08-14 15:40:25,78,1,589.54,200.44,589.540000,5,1,5,515,New / Promising
76,2022-11-02 01:04:40,1094,3,306.15,66.42,102.050000,2,3,4,234,High-value at Risk
78,2025-03-27 22:28:46,218,2,362.26,113.74,181.130000,5,2,4,524,New / Promising
79,2024-06-09 11:09:22,509,3,887.65,180.13,295.883333,3,3,5,335,Established / Mid-value
80,2025-09-25 20:21:03,36,2,367.45,66.14,183.725000,5,2,4,524,New / Promising
81,2024-07-07 21:42:21,481,5,334.92,114.20,66.984000,4,5,4,454,Champions
82,2024-05-05 23:37:34,544,1,37.63,14.73,37.630000,3,1,1,311,Established / Mid-value
85,2022-02-20 18:00:50,1349,1,75.05,31.93,75.050000,1,1,2,112,Dormant
86,2022-06-24 11:09:03,1225,1,245.08,55.52,245.080000,2,1,3,213,Dormant
91,2025-08-20 20:03:21,72,5,727.71,279.52,145.542000,5,5,5,555,Champions
92,2025-08-30 12:22:02,62,4,344.28,128.41,86.070000,5,4,4,544,Champions
93,2021-06-26 01:56:26,1588,2,126.78,34.59,63.390000,1,2,2,122,Dormant
94,2021-08-21 22:09:11,1532,1,407.08,138.22,407.080000,1,1,4,114,High-value at Risk
95,2025-02-08 20:36:55,265,2,500.47,128.69,250.235000,4,2,5,425,New / Promising
97,2022-08-31 22:46:15,1157,2,278.23,97.33,139.115000,2,2,4,224,High-value at Risk
98,2022-01-07 20:17:52,1393,1,59.52,8.04,59.520000,1,1,1,111,Dormant
99,2025-09-26 21:51:21,35,4,730.92,216.92,182.730000,5,4,5,545,Champions
100,2024-03-02 11:03:50,608,4,297.38,93.23,74.345000,3,4,4,344,Loyal
101,2025-03-11 15:09:53,234,4,601.57,142.93,150.392500,4,4,5,445,Champions
102,2024-12-10 11:53:16,325,4,404.15,107.82,101.037500,4,4,4,444,Champions
103,2023-06-05 15:09:35,879,1,12.37,1.31,12.370000,2,1,1,211,Dormant
104,2022-08-24 08:57:48,1164,2,145.17,49.17,72.585000,2,2,2,222,Dormant
105,2020-01-21 05:35:28,2110,1,324.03,126.95,324.030000,1,1,4,114,High-value at Risk
106,2023-10-29 22:34:07,733,2,101.59,30.86,50.795000,3,2,2,322,Established / Mid-value
107,2023-08-20 06:59:01,803,2,397.49,148.28,198.745000,3,2,4,324,Established / Mid-value
108,2022-10-22 10:27:20,1105,2,453.75,99.18,226.875000,2,2,5,225,High-value at Risk
109,2025-06-14 09:11:49,139,1,1290.44,172.28,1290.440000,5,1,5,515,New / Promising
110,2024-05-13 19:52:00,536,1,30.12,10.68,30.120000,3,1,1,311,Established / Mid-value
112,2022-08-31 07:38:09,1157,1,44.71,9.78,44.710000,2,1,1,211,Dormant
113,2025-04-04 04:21:14,210,1,50.89,14.73,50.890000,5,1,1,511,New / Promising
114,2022-07-14 20:26:30,1205,1,202.80,97.63,202.800000,2,1,3,213,Dormant
117,2025-10-01 05:45:29,30,5,1355.84,318.62,271.168000,5,5,5,555,Champions
118,2025-03-19 00:02:07,226,3,266.13,99.92,88.710000,4,3,4,434,Established / Mid-value
120,2022-05-14 10:39:32,1266,2,193.42,60.33,96.710000,2,2,3,223,Dormant
121,2024-05-12 02:59:14,537,2,160.79,62.10,80.395000,3,2,3,323,Established / Mid-value
123,2025-01-27 10:31:59,277,2,160.86,31.74,80.430000,4,2,3,423,New / Promising
124,2022-08-20 05:02:12,1168,2,216.86,99.90,108.430000,2,2,3,223,Dormant
127,2024-05-20 03:14:52,529,2,419.14,117.98,209.570000,3,2,4,324,Established / Mid-value
128,2021-09-08 03:39:09,1514,3,202.05,51.22,67.350000,1,3,3,133,Established / Mid-value
129,2024-10-09 16:21:25,387,2,359.80,60.41,179.900000,4,2,4,424,New / Promising
130,2025-02-14 10:15:23,259,2,122.73,33.12,61.365000,4,2,2,422,New / Promising
133,2022-05-14 04:46:50,1266,1,90.99,17.85,90.990000,2,1,2,212,Dormant
134,2025-05-11 18:10:48,173,1,243.78,74.05,243.780000,5,1,3,513,New / Promising
135,2022-04-04 09:15:14,1306,1,7.82,3.20,7.820000,2,1,1,211,Dormant
138,2023-10-28 18:00:34,734,1,15.86,1.14,15.860000,3,1,1,311,Established / Mid-value
140,2020-12-24 23:15:22,1772,1,215.51,72.01,215.510000,1,1,3,113,Dormant
141,2025-05-20 19:33:26,164,5,573.52,166.80,114.704000,5,5,5,555,Champions
142,2022-12-02 23:37:51,1064,2,405.84,136.73,202.920000,2,2,4,224,High-value at Risk
143,2025-10-17 12:02:32,14,3,409.48,114.72,136.493333,5,3,4,534,Established / Mid-value
144,2024-12-09 00:20:13,326,2,160.97,26.97,80.485000,4,2,3,423,New / Promising
146,2022-02-21 23:03:47,1348,3,268.29,75.14,89.430000,1,3,4,134,High-value at Risk
147,2024-06-06 03:22:34,512,3,681.71,257.52,227.236667,3,3,5,335,Established / Mid-value
148,2025-10-18 07:56:20,13,1,224.01,85.66,224.010000,5,1,3,513,New / Promising
149,2022-04-28 18:54:20,1282,1,140.18,47.49,140.180000,2,1,2,212,Dormant
150,2020-10-13 20:57:02,1844,1,171.96,54.22,171.960000,1,1,3,113,Dormant
151,2022-01-27 20:23:53,1373,1,90.75,21.66,90.750000,1,1,2,112,Dormant
152,2023-02-02 14:03:05,1002,3,171.37,46.00,57.123333,2,3,3,233,Established / Mid-value
154,2024-10-24 10:35:00,372,3,145.83,42.85,48.610000,4,3,2,432,Established / Mid-value
155,2020-11-12 01:29:50,1814,1,39.06,18.48,39.060000,1,1,1,111,Dormant
156,2024-06-21 06:29:11,497,1,30.56,8.64,30.560000,3,1,1,311,Established / Mid-value
157,2020-02-13 09:31:03,2087,1,325.46,51.24,325.460000,1,1,4,114,High-value at Risk
158,2025-09-27 04:52:32,34,1,50.38,9.08,50.380000,5,1,1,511,New / Promising
160,2025-05-21 08:34:59,163,3,133.99,51.98,44.663333,5,3,2,532,Established / Mid-value
161,2022-12-28 15:53:17,1038,2,862.84,364.21,431.420000,2,2,5,225,High-value at Risk
162,2023-03-28 21:17:33,948,3,236.25,75.43,78.750000,2,3,3,233,Established / Mid-value
163,2025-07-30 16:59:57,93,2,379.42,179.57,189.710000,5,2,4,524,New / Promising
164,2023-05-04 07:58:50,911,2,190.90,51.78,95.450000,2,2,3,223,Dormant
165,2024-02-13 07:48:52,626,3,293.82,99.67,97.940000,3,3,4,334,Established / Mid-value
166,2022-06-06 05:07:16,1243,2,293.42,71.83,146.710000,2,2,4,224,High-value at Risk
167,2023-03-27 07:21:13,949,1,237.34,84.60,237.340000,2,1,3,213,Dormant
169,2024-02-05 14:20:35,634,2,180.90,32.42,90.450000,3,2,3,323,Established / Mid-value
171,2025-07-21 10:24:15,102,3,115.21,31.18,38.403333,5,3,2,532,Established / Mid-value
172,2024-07-24 19:08:55,464,2,544.05,220.29,272.025000,4,2,5,425,New / Promising
173,2022-06-11 07:39:23,1238,4,572.79,162.73,143.197500,2,4,5,245,High-value at Risk
174,2024-08-06 22:40:20,451,3,522.14,139.24,174.046667,4,3,5,435,Established / Mid-value
175,2024-10-29 15:18:16,367,5,441.37,130.70,88.274000,4,5,5,455,Champions
176,2025-04-09 10:03:58,205,1,67.32,23.16,67.320000,5,1,1,511,New / Promising
177,2020-10-12 02:30:17,1845,2,149.46,38.53,74.730000,1,2,2,122,Dormant
178,2025-08-02 20:22:22,90,1,56.09,18.44,56.090000,5,1,1,511,New / Promising
179,2023-01-01 21:18:41,1034,1,69.45,20.35,69.450000,2,1,1,211,Dormant
180,2020-07-10 11:24:03,1939,1,249.08,85.88,249.080000,1,1,3,113,Dormant
181,2023-03-27 21:03:38,949,3,653.41,213.47,217.803333,2,3,5,235,High-value at Risk
182,2023-05-18 20:31:09,897,1,139.43,40.14,139.430000,2,1,2,212,Dormant
183,2024-02-25 04:07:45,614,2,181.15,32.87,90.575000,3,2,3,323,Established / Mid-value
184,2025-07-14 14:51:51,109,1,247.08,103.91,247.080000,5,1,3,513,New / Promising
185,2024-11-30 07:46:08,335,3,575.53,181.21,191.843333,4,3,5,435,Established / Mid-value
186,2025-02-27 04:11:16,246,2,201.48,73.70,100.740000,4,2,3,423,New / Promising
187,2025-01-26 21:19:49,278,4,203.45,55.46,50.862500,4,4,3,443,Loyal
188,2024-03-22 13:28:45,588,4,466.20,122.63,116.550000,3,4,5,345,Loyal
189,2023-09-30 01:03:26,762,2,371.33,93.23,185.665000,3,2,4,324,Established / Mid-value
190,2022-08-09 03:50:11,1179,1,109.31,49.19,109.310000,2,1,2,212,Dormant
191,2021-02-12 09:36:01,1722,1,30.64,1.86,30.640000,1,1,1,111,Dormant
192,2021-03-15 11:37:01,1691,1,106.40,19.08,106.400000,1,1,2,112,Dormant
193,2024-10-20 13:58:51,376,2,180.55,48.88,90.275000,4,2,3,423,New / Promising
194,2020-06-22 10:13:03,1957,1,46.87,12.86,46.870000,1,1,1,111,Dormant
196,2022-08-18 13:33:29,1170,2,444.50,122.86,222.250000,2,2,5,225,High-value at Risk
197,2022-03-10 08:45:12,1331,2,118.83,36.52,59.415000,2,2,2,222,Dormant
198,2024-09-12 19:25:08,414,1,877.96,433.24,877.960000,4,1,5,415,New / Promising
199,2020-10-13 08:17:34,1844,1,178.72,21.03,178.720000,1,1,3,113,Dormant
200,2023-05-31 07:18:27,884,2,104.17,19.34,52.085000,2,2,2,222,Dormant
201,2021-01-24 12:10:36,1741,1,138.19,51.96,138.190000,1,1,2,112,Dormant
202,2023-02-14 12:47:16,990,1,445.93,214.62,445.930000,2,1,5,215,High-value at Risk
203,2022-01-03 04:54:10,1397,1,47.62,19.77,47.620000,1,1,1,111,Dormant
204,2025-06-21 06:17:32,132,1,123.35,57.24,123.350000,5,1,2,512,New / Promising
205,2025-07-05 08:36:27,118,3,266.91,88.91,88.970000,5,3,4,534,Established / Mid-value
206,2023-07-01 04:16:49,853,2,275.33,105.75,137.665000,2,2,4,224,High-value at Risk
207,2021-01-26 08:30:05,1739,2,335.36,107.64,167.680000,1,2,4,124,High-value at Risk
208,2024-07-13 11:04:15,475,4,244.21,89.20,61.052500,4,4,3,443,Loyal
209,2024-04-23 10:44:24,556,2,514.09,212.76,257.045000,3,2,5,325,Established / Mid-value
210,2021-10-29 04:42:08,1463,2,494.76,191.04,247.380000,1,2,5,125,High-value at Risk
211,2024-08-04 03:01:25,453,2,150.69,25.57,75.345000,4,2,2,422,New / Promising
212,2022-10-20 07:37:25,1107,1,76.07,29.12,76.070000,2,1,2,212,Dormant
214,2025-08-14 07:05:11,78,3,366.75,112.15,122.250000,5,3,4,534,Established / Mid-value
215,2023-01-10 18:49:19,1025,1,147.06,34.66,147.060000,2,1,2,212,Dormant
216,2025-02-05 16:16:07,268,2,461.91,184.77,230.955000,4,2,5,425,New / Promising
218,2024-11-05 06:40:18,360,2,307.51,74.76,153.755000,4,2,4,424,New / Promising
219,2022-07-13 01:55:29,1206,1,56.86,13.06,56.860000,2,1,1,211,Dormant
221,2021-11-05 14:57:44,1456,1,44.27,21.37,44.270000,1,1,1,111,Dormant
222,2025-09-29 12:54:45,32,2,108.74,29.47,54.370000,5,2,2,522,New / Promising
223,2020-10-20 14:03:03,1837,3,205.22,50.60,68.406667,1,3,3,133,Established / Mid-value
224,2025-09-25 13:20:18,36,1,100.07,41.24,100.070000,5,1,2,512,New / Promising
225,2024-10-28 22:12:34,368,2,84.63,9.38,42.315000,4,2,2,422,New / Promising
226,2025-09-04 06:23:17,57,2,190.83,56.21,95.415000,5,2,3,523,New / Promising
227,2020-04-23 20:57:54,2017,1,82.47,32.48,82.470000,1,1,2,112,Dormant
228,2025-03-31 23:08:10,214,2,180.84,65.17,90.420000,5,2,3,523,New / Promising
229,2023-10-05 17:43:52,757,1,116.54,45.95,116.540000,3,1,2,312,Established / Mid-value
231,2020-07-17 06:17:29,1932,1,54.03,8.71,54.030000,1,1,1,111,Dormant
233,2022-03-21 03:28:02,1320,1,199.88,45.18,199.880000,2,1,3,213,Dormant
234,2025-04-30 13:06:58,184,1,7.26,1.86,7.260000,5,1,1,511,New / Promising
235,2020-08-16 02:16:53,1902,1,135.36,30.87,135.360000,1,1,2,112,Dormant
236,2025-03-19 19:49:13,226,3,677.15,223.69,225.716667,4,3,5,435,Established / Mid-value
237,2025-04-16 01:53:01,198,4,693.97,182.44,173.492500,5,4,5,545,Champions
238,2023-10-12 05:56:34,750,2,284.27,98.13,142.135000,3,2,4,324,Established / Mid-value
239,2025-02-13 14:30:33,260,2,787.76,270.23,393.880000,4,2,5,425,New / Promising
240,2024-11-15 20:18:33,350,2,49.32,21.55,24.660000,4,2,1,421,New / Promising
241,2024-04-29 02:35:51,550,1,41.65,13.76,41.650000,3,1,1,311,Established / Mid-value
243,2021-02-12 05:38:26,1722,1,233.70,45.03,233.700000,1,1,3,113,Dormant
244,2024-11-20 12:01:20,345,1,45.56,9.16,45.560000,4,1,1,411,New / Promising
246,2025-07-31 17:38:45,92,1,228.32,55.65,228.320000,5,1,3,513,New / Promising
247,2022-01-23 01:39:14,1377,1,51.90,12.96,51.900000,1,1,1,111,Dormant
248,2025-08-23 20:31:32,69,1,96.51,28.82,96.510000,5,1,2,512,New / Promising
250,2025-04-03 05:31:48,211,3,247.66,79.05,82.553333,5,3,3,533,Established / Mid-value
251,2022-01-02 02:24:36,1398,1,213.07,54.89,213.070000,1,1,3,113,Dormant
253,2025-08-20 10:16:03,72,3,1030.41,195.16,343.470000,5,3,5,535,Established / Mid-value
254,2024-09-22 15:30:35,404,5,510.58,120.40,102.116000,4,5,5,455,Champions
255,2025-01-10 14:33:36,294,3,183.28,35.73,61.093333,4,3,3,433,Established / Mid-value
256,2022-12-12 06:07:35,1054,1,172.23,26.03,172.230000,2,1,3,213,Dormant
257,2024-11-23 12:15:08,342,4,274.03,79.98,68.507500,4,4,4,444,Champions
258,2020-01-01 16:44:55,2130,1,69.26,10.78,69.260000,1,1,1,111,Dormant
259,2020-10-30 21:09:45,1827,1,147.49,32.72,147.490000,1,1,2,112,Dormant
261,2021-07-05 06:11:54,1579,2,962.45,411.26,481.225000,1,2,5,125,High-value at Risk
262,2025-10-29 20:31:39,2,1,692.35,244.86,692.350000,5,1,5,515,New / Promising
263,2025-09-18 01:43:03,43,3,50.82,16.77,16.940000,5,3,1,531,Established / Mid-value
264,2024-11-13 16:39:00,352,4,322.40,90.56,80.600000,4,4,4,444,Champions
265,2025-02-17 12:02:31,256,4,910.64,331.62,227.660000,4,4,5,445,Champions
266,2023-12-21 15:39:56,680,4,647.90,224.76,161.975000,3,4,5,345,Loyal
269,2025-01-19 03:20:21,285,2,114.08,19.07,57.040000,4,2,2,422,New / Promising
270,2025-10-04 15:43:43,27,2,321.34,95.03,160.670000,5,2,4,524,New / Promising
271,2024-04-08 13:40:40,571,2,86.27,25.26,43.135000,3,2,2,322,Established / Mid-value
272,2023-11-09 22:03:31,722,1,90.44,22.81,90.440000,3,1,2,312,Established / Mid-value
273,2024-03-18 06:04:43,592,2,408.31,106.14,204.155000,3,2,4,324,Established / Mid-value
275,2025-10-02 14:20:45,29,2,169.07,57.13,84.535000,5,2,3,523,New / Promising
276,2024-10-27 10:37:24,369,3,217.25,80.46,72.416667,4,3,3,433,Established / Mid-value
277,2024-03-26 10:32:05,584,1,57.89,11.27,57.890000,3,1,1,311,Established / Mid-value
278,2024-04-02 21:47:29,577,2,111.18,21.75,55.590000,3,2,2,322,Established / Mid-value
279,2023-09-25 06:02:28,767,2,270.70,77.97,135.350000,3,2,4,324,Established / Mid-value
280,2025-05-25 14:02:04,159,1,44.18,10.46,44.180000,5,1,1,511,New / Promising
281,2024-09-12 11:03:22,414,2,47.91,18.10,23.955000,4,2,1,421,New / Promising
283,2024-04-28 02:27:50,551,2,54.84,16.92,27.420000,3,2,1,321,Established / Mid-value
284,2024-05-21 10:26:47,528,2,554.80,227.73,277.400000,3,2,5,325,Established / Mid-value
285,2023-10-19 23:22:10,743,2,147.82,42.62,73.910000,3,2,2,322,Established / Mid-value
286,2024-02-26 06:45:28,613,1,372.36,179.48,372.360000,3,1,4,314,Established / Mid-value
288,2025-01-09 22:54:53,295,3,409.72,122.10,136.573333,4,3,4,434,Established / Mid-value
289,2024-01-28 22:21:40,642,2,959.12,242.45,479.560000,3,2,5,325,Established / Mid-value
291,2025-09-26 15:17:52,35,2,213.03,54.81,106.515000,5,2,3,523,New / Promising
293,2021-11-24 22:13:30,1437,1,75.91,35.63,75.910000,1,1,2,112,Dormant
294,2023-01-15 21:25:07,1020,2,1064.59,390.19,532.295000,2,2,5,225,High-value at Risk
296,2022-02-07 12:18:54,1362,1,31.72,10.36,31.720000,1,1,1,111,Dormant
297,2020-10-30 11:14:03,1827,2,112.72,31.63,56.360000,1,2,2,122,Dormant
298,2025-03-24 04:29:21,221,2,86.07,21.67,43.035000,5,2,2,522,New / Promising
299,2021-05-02 07:13:54,1643,1,126.67,50.10,126.670000,1,1,2,112,Dormant
302,2025-03-23 23:02:49,222,1,435.02,129.79,435.020000,4,1,5,415,New / Promising
303,2024-12-30 22:22:09,305,2,250.29,48.96,125.145000,4,2,3,423,New / Promising
304,2022-04-12 15:49:05,1298,2,230.92,57.30,115.460000,2,2,3,223,Dormant
305,2024-09-13 13:54:05,413,4,348.22,115.41,87.055000,4,4,4,444,Champions
306,2022-03-23 09:45:22,1318,1,87.06,21.19,87.060000,2,1,2,212,Dormant
307,2023-11-29 19:12:53,702,1,78.99,8.80,78.990000,3,1,2,312,Established / Mid-value
308,2020-11-04 08:44:06,1822,2,115.01,12.10,57.505000,1,2,2,122,Dormant
309,2024-09-12 22:15:48,414,1,12.97,6.28,12.970000,4,1,1,411,New / Promising
310,2021-02-04 01:39:57,1730,2,171.87,29.74,85.935000,1,2,3,123,Dormant
311,2023-01-12 06:46:23,1023,2,246.18,59.69,123.090000,2,2,3,223,Dormant
312,2024-11-30 22:20:33,335,2,77.04,23.50,38.520000,4,2,2,422,New / Promising
314,2025-04-18 05:19:19,196,3,852.49,208.23,284.163333,5,3,5,535,Established / Mid-value
315,2024-09-13 10:09:30,413,4,347.73,109.38,86.932500,4,4,4,444,Champions
316,2024-12-05 05:36:32,330,3,855.77,348.74,285.256667,4,3,5,435,Established / Mid-value
317,2024-08-21 20:28:03,436,3,228.84,65.52,76.280000,4,3,3,433,Established / Mid-value
318,2024-06-24 04:30:31,494,3,618.18,165.40,206.060000,3,3,5,335,Established / Mid-value
320,2025-05-20 17:34:18,164,5,426.47,125.38,85.294000,5,5,4,554,Champions
322,2025-06-03 05:45:17,150,4,330.42,91.42,82.605000,5,4,4,544,Champions
323,2023-03-29 22:30:32,947,2,78.52,13.43,39.260000,2,2,2,222,Dormant
324,2021-06-11 20:40:19,1603,1,225.48,92.29,225.480000,1,1,3,113,Dormant
326,2024-04-18 09:46:05,561,1,168.69,65.35,168.690000,3,1,3,313,Established / Mid-value
327,2025-04-05 15:54:27,209,6,1008.15,388.42,168.025000,5,5,5,555,Champions
331,2023-01-10 02:26:16,1025,1,48.64,17.70,48.640000,2,1,1,211,Dormant
332,2022-04-30 01:12:18,1280,1,130.03,34.44,130.030000,2,1,2,212,Dormant
333,2023-03-13 15:20:21,963,2,29.00,11.25,14.500000,2,2,1,221,Dormant
334,2025-06-28 08:58:42,125,5,805.12,269.09,161.024000,5,5,5,555,Champions
335,2022-08-12 22:15:15,1176,2,203.33,56.32,101.665000,2,2,3,223,Dormant
336,2025-10-19 17:43:04,12,3,546.58,140.38,182.193333,5,3,5,535,Established / Mid-value
337,2020-09-27 00:18:16,1860,1,586.78,194.87,586.780000,1,1,5,115,High-value at Risk
339,2023-07-06 15:50:26,848,1,162.55,73.51,162.550000,3,1,3,313,Established / Mid-value
341,2024-05-10 11:37:40,539,1,23.61,0.11,23.610000,3,1,1,311,Established / Mid-value
342,2022-06-26 01:02:14,1223,1,29.46,2.91,29.460000,2,1,1,211,Dormant
343,2023-01-31 12:22:25,1004,3,725.09,300.00,241.696667,2,3,5,235,High-value at Risk
344,2025-04-13 07:04:26,201,3,361.03,105.80,120.343333,5,3,4,534,Established / Mid-value
345,2025-09-28 02:37:24,33,2,620.09,229.19,310.045000,5,2,5,525,New / Promising
346,2023-12-30 17:48:01,671,1,17.47,3.74,17.470000,3,1,1,311,Established / Mid-value
347,2020-03-26 01:02:29,2045,1,259.60,69.58,259.600000,1,1,4,114,High-value at Risk
348,2020-06-27 18:49:45,1952,1,143.19,36.56,143.190000,1,1,2,112,Dormant
349,2022-01-11 08:44:28,1389,3,418.85,164.88,139.616667,1,3,4,134,High-value at Risk
350,2023-07-29 20:32:09,825,2,231.42,95.05,115.710000,3,2,3,323,Established / Mid-value
351,2022-05-24 03:21:49,1256,1,161.63,51.94,161.630000,2,1,3,213,Dormant
352,2025-01-03 11:35:43,301,3,290.25,107.46,96.750000,4,3,4,434,Established / Mid-value
353,2024-06-18 22:53:29,500,2,423.38,106.76,211.690000,3,2,4,324,Established / Mid-value
354,2024-01-24 09:59:17,646,4,334.27,125.08,83.567500,3,4,4,344,Loyal
356,2021-10-23 16:02:22,1469,1,97.89,39.07,97.890000,1,1,2,112,Dormant
357,2020-12-17 13:21:26,1779,1,179.55,47.85,179.550000,1,1,3,113,Dormant
358,2020-09-23 01:11:03,1864,1,231.10,112.50,231.100000,1,1,3,113,Dormant
359,2024-12-10 21:15:53,325,3,260.20,97.47,86.733333,4,3,4,434,Established / Mid-value
360,2024-09-14 13:53:53,412,1,57.01,10.05,57.010000,4,1,1,411,New / Promising
361,2020-06-28 16:21:12,1951,2,225.15,69.26,112.575000,1,2,3,123,Dormant
362,2024-11-15 06:50:26,350,4,696.85,183.11,174.212500,4,4,5,445,Champions
363,2024-05-31 01:58:45,518,1,65.85,29.65,65.850000,3,1,1,311,Established / Mid-value
